
"InChI","InChI key"
"InChI=1S/2H3P.3Zn/h2*1H3;;;","InChIKey=HYHYBSHHHWIQDS-UHFFFAOYSA-N"
"InChI=1S/C4H10NO3PS/c1-4(6)5-9(7,8-2)10-3/h1-3H3,(H,5,6,7)","InChIKey=YASYVMFAVPKPKE-UHFFFAOYSA-N"
"InChI=1S/H2O4S.Zn/c1-5(2,3)4;/h(H2,1,2,3,4);/q;+2/p-2","InChIKey=NWONKYPBYAMBJT-UHFFFAOYSA-L"
"InChI=1S/C14H7Br3F3N3O4/c1-21(13-9(16)2-6(15)3-10(13)17)12-8(14(18,19)20)4-7(22(24)25)5-11(12)23(26)27/h2-5H,1H3","InChIKey=USMZPYXTVKAYST-UHFFFAOYSA-N"
"InChI=1S/C2H7O5P/c1-2(3)7-8(4,5)6/h2-3H,1H3,(H2,4,5,6)/p-2","InChIKey=QOOLFDOJZJZYKR-UHFFFAOYSA-L"
"InChI=1S/C2H5IO/c1-2(3)4/h2,4H,1H3","InChIKey=HZHWUOHAMYTSLL-UHFFFAOYSA-N"
"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N"
"InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H","InChIKey=YOYAIZYFCNQIRF-UHFFFAOYSA-N"
"InChI=1S/Mn.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/p-2","InChIKey=KNLQKHUBPCXPQD-UHFFFAOYSA-L"
"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)","InChIKey=MXWJVTOOROXGIU-UHFFFAOYSA-N"
"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3","InChIKey=KDSNLYIMUZNERS-UHFFFAOYSA-N"
"InChI=1S/C12H12N2.2BrH/c1-3-7-13-9-10-14-8-4-2-6-12(14)11(13)5-1;;/h1-8H,9-10H2;2*1H/q+2;;/p-2","InChIKey=ODPOAESBSUKMHD-UHFFFAOYSA-L"
"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)","InChIKey=QAOWNCQODCNURD-UHFFFAOYSA-N"
"InChI=1S/CH2N2S2.2Na/c2-1-3(4)5;;/h4-5H;;/q;2*+1","InChIKey=BVFGQVRHLOHGNH-UHFFFAOYSA-N"
"InChI=1S/C14H24NO4PS3/c1-12(2)18-20(21,19-13(3)4)22-11-10-15-23(16,17)14-8-6-5-7-9-14/h5-9,12-13,15H,10-11H2,1-4H3","InChIKey=RRNIZKPFKNDSRS-UHFFFAOYSA-N"
"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3","InChIKey=VLKZOEOYAKHREP-UHFFFAOYSA-N"
"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)","InChIKey=CTSLUCNDVMMDHG-UHFFFAOYSA-N"
"InChI=1S/C10H21/c1-3-5-7-9-10-8-6-4-2/h1,3-10H2,2H3","InChIKey=HGXDRYGXXALTOV-UHFFFAOYSA-N"
"InChI=1S/4K.H4O7P2/c;;;;1-8(2,3)7-9(4,5)6/h;;;;(H2,1,2,3)(H2,4,5,6)/q4*+1;","InChIKey=RYCLIXPGLDDLTM-UHFFFAOYSA-N"
"InChI=1S/O10Si3/c1-11(2,3)9-13(7,8)10-12(4,5)6/q-8","InChIKey=FFQBWYTWHOTQFS-UHFFFAOYSA-N"
"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3","InChIKey=CDOSHBSSFJOMGT-UHFFFAOYSA-N"
"InChI=1S/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1","InChIKey=IXORZMNAPKEEDV-OBDJNFEBSA-N"
"InChI=1S/C10H6F17NO2S/c1-2-28-31(29,30)10(26,27)8(21,22)6(17,18)4(13,14)3(11,12)5(15,16)7(19,20)9(23,24)25/h28H,2H2,1H3","InChIKey=CCEKAJIANROZEO-UHFFFAOYSA-N"
"InChI=1S/C11H12NO4PS2/c1-15-17(18,16-2)19-7-12-10(13)8-5-3-4-6-9(8)11(12)14/h3-6H,7H2,1-2H3","InChIKey=LMNZTLDVJIUSHT-UHFFFAOYSA-N"
"InChI=1S/C10H19N5O/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7H,1-5H3,(H2,11,12,13,14,15)","InChIKey=ISEUFVQQFVOBCY-UHFFFAOYSA-N"
"InChI=1S/CHClO5.ClH.4Na/c3-1(4)7-2(5)6;;;;;/h(H,3,4);1H;;;;/q;;4*+1/p-2","InChIKey=QKIFEXJWLRFOGU-UHFFFAOYSA-L"
"InChI=1S/C18H36O2/c1-3-5-7-9-11-13-15-17-20-18(19)16-14-12-10-8-6-4-2/h3-17H2,1-2H3","InChIKey=WWDHABCVIVMHKP-UHFFFAOYSA-N"
"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)","InChIKey=XBDQKXXYIPTUBI-UHFFFAOYSA-N"
"InChI=1S/C6H4Cl2N2O2/c7-4-1-3(10(11)12)2-5(8)6(4)9/h1-2H,9H2","InChIKey=BIXZHMJUSMUDOQ-UHFFFAOYSA-N"
"InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3","InChIKey=GUVLYNGULCJVDO-UHFFFAOYSA-N"
"InChI=1S/C8H19O2PS3/c1-4-9-11(12,10-5-2)14-8-7-13-6-3/h4-8H2,1-3H3","InChIKey=DOFZAZXDOSGAJZ-UHFFFAOYSA-N"
"InChI=1S/C2H4O3/c1-2(3)5-4/h4H,1H3","InChIKey=KFSLWBXXFJQRDL-UHFFFAOYSA-N"
"InChI=1S/C6H8O7.2Cu/c7-3(8)1-6(13,5(11)12)2-4(9)10;;/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12);;","InChIKey=OUJQALUYGBUJBS-UHFFFAOYSA-N"
"InChI=1S/C2H7NO.Cu/c1-2(3)4;/h2,4H,3H2,1H3;","InChIKey=ISDSSZUNEVFBIU-UHFFFAOYSA-N"
"InChI=1S/C5H12NO4P.H3N/c1-11(9,10)3-2-4(6)5(7)8;/h4H,2-3,6H2,1H3,(H,7,8)(H,9,10);1H3","InChIKey=ZBMRKNMTMPPMMK-UHFFFAOYSA-N"
"InChI=1S/CH3NOS2.Na/c3-1(4)2-5;/h5H,(H2,2,3,4);/q;+1","InChIKey=GSVAXQCWRLUJBO-UHFFFAOYSA-N"
"InChI=1S/C12H9Cl2NO3/c1-3-12(2)10(16)15(11(17)18-12)9-5-7(13)4-8(14)6-9/h3-6H,1H2,2H3","InChIKey=FSCWZHGZWWDELK-UHFFFAOYSA-N"
"InChI=1S/C20H38O7S.ClH.H3N.Na/c1-3-5-7-9-11-13-15-26-19(21)17-18(28(23,24)25)20(22)27-16-14-12-10-8-6-4-2;;;/h18H,3-17H2,1-2H3,(H,23,24,25);1H;1H3;/q;;;+1","InChIKey=OZAPZVZGLRCOIO-UHFFFAOYSA-N"
"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)","InChIKey=XMTQQYYKAHVGBJ-UHFFFAOYSA-N"
"InChI=1S/C6H8Cl2N2O2/c1-3-6(2)4(11)9(7)5(12)10(6)8/h3H2,1-2H3","InChIKey=OFTZZDZZNXTWFO-UHFFFAOYSA-N"
"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3","InChIKey=NEHNMFOYXAPHSD-UHFFFAOYSA-N"
"InChI=1S/C2H4O/c1-2-3/h2H,1H3","InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N"
"InChI=1S/C2H4/c1-2/h1-2H2","InChIKey=VGGSQFUCUMXWEO-UHFFFAOYSA-N"
"InChI=1S/C19H20F3NO4/c1-3-4-11-25-18(24)13(2)26-15-6-8-16(9-7-15)27-17-10-5-14(12-23-17)19(20,21)22/h5-10,12-13H,3-4,11H2,1-2H3","InChIKey=VAIZTNZGPYBOGF-UHFFFAOYSA-N"
"InChI=1S/C3H2Br2N2O/c4-3(5,1-6)2(7)8/h(H2,7,8)","InChIKey=UUIVKBHZENILKB-UHFFFAOYSA-N"
"InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2","InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N"
"InChI=1S/K.NO3/c;2-1(3)4/q+1;-1","InChIKey=FGIUAXJPYTZDNR-UHFFFAOYSA-N"
"InChI=1S/C31H23BrO3/c32-24-15-13-20(14-16-24)19-9-11-21(12-10-19)23-17-22-5-1-2-6-25(22)27(18-23)29-30(33)26-7-3-4-8-28(26)35-31(29)34/h1-16,23,27,33H,17-18H2","InChIKey=VEUZZDOCACZPRY-UHFFFAOYSA-N"
"InChI=1S/C6H12N2S4/c1-7(2)5(9)11-12-6(10)8(3)4/h1-4H3","InChIKey=KUAZQDVKQLNFPE-UHFFFAOYSA-N"
"InChI=1S/Al.P/q+3;-3","InChIKey=PGCGUUGEUBFBPP-UHFFFAOYSA-N"
"InChI=1S/C8H9NO2/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5H,9H2,1H3","InChIKey=VAMXMNNIEUEQDV-UHFFFAOYSA-N"
"InChI=1S/C15H11ClF3NO4/c1-2-23-14-8-10(4-5-12(14)20(21)22)24-13-6-3-9(7-11(13)16)15(17,18)19/h3-8H,2H2,1H3","InChIKey=OQMBBFQZGJFLBU-UHFFFAOYSA-N"
"InChI=1S/CH5AsO3.Na/c1-2(3,4)5;/h1H3,(H2,3,4,5);/q;+1/p-1","InChIKey=JITOKQVGRJSHHA-UHFFFAOYSA-M"
"InChI=1S/C10H9Cl4O4P/c1-16-19(15,17-2)18-10(5-11)6-3-8(13)9(14)4-7(6)12/h3-5H,1-2H3/b10-5-","InChIKey=UBCKGWBNUIFUST-YHYXMXQVSA-N"
"InChI=1S/C10H19N5S/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7H,1-5H3,(H2,11,12,13,14,15)","InChIKey=AAEVYOVXGOFMJO-UHFFFAOYSA-N"
"InChI=1S/C21H22N2O2/c24-18-10-16-19-13-9-17-21(6-7-22(17)11-12(13)5-8-25-16)14-3-1-2-4-15(14)23(18)20(19)21/h1-5,13,16-17,19-20H,6-11H2/t13-,16-,17-,19-,20-,21+/m0/s1","InChIKey=QMGVPVSNSZLJIA-FVWCLLPLSA-N"
"InChI=1S/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3","InChIKey=NFACJZMKEDPNKN-UHFFFAOYSA-N"
"InChI=1S/H2O5S/c1-5-6(2,3)4/h1H,(H,2,3,4)/p-2","InChIKey=FHHJDRFHHWUPDG-UHFFFAOYSA-L"
"InChI=1S/C22H19Br2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1","InChIKey=OWZREIFADZCYQD-NSHGMRRFSA-N"
"InChI=1S/C14H9Cl5O/c15-11-5-1-9(2-6-11)13(20,14(17,18)19)10-3-7-12(16)8-4-10/h1-8,20H","InChIKey=UOAMTSKGCBMZTC-UHFFFAOYSA-N"
"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2","InChIKey=SXRSQZLOMIGNAQ-UHFFFAOYSA-N"
"InChI=1S/C10H20O2/c1-2-3-4-5-6-7-8-9-10(11)12/h2-9H2,1H3,(H,11,12)","InChIKey=GHVNFZFCNZKVNT-UHFFFAOYSA-N"
"InChI=1S/C3H8IO4P.Fe/c1-3(2)7-9(5,6)8-4;/h3H,1-2H3,(H,5,6);","InChIKey=MDGYECUTJDIBFT-UHFFFAOYSA-N"
"InChI=1S/B4H4O9.2Na.8H2O/c5-1-9-3(7)11-2(6)12-4(8,10-1)13-3;;;;;;;;;;/h5-8H;;;8*1H2/q-2;2*+1;;;;;;;;","InChIKey=OQSOCUIYOAGFKW-UHFFFAOYSA-N"
"InChI=1S/C4H7Br2Cl2O4P/c1-10-13(9,11-2)12-3(5)4(6,7)8/h3H,1-2H3","InChIKey=BUYMVQAILCEWRR-UHFFFAOYSA-N"
"InChI=1S/CH2O3.Na/c2-1(3)4;/h(H2,2,3,4);/q;+1/p-1","InChIKey=UIIMBOGNXHQVGW-UHFFFAOYSA-M"
"InChI=1S/C30H23BrO4/c31-23-16-14-20(15-17-23)19-10-12-22(13-11-19)26(32)18-25(21-6-2-1-3-7-21)28-29(33)24-8-4-5-9-27(24)35-30(28)34/h1-17,25-26,32-33H,18H2","InChIKey=OWNRRUFOJXFKCU-UHFFFAOYSA-N"
"InChI=1S/C8H17/c1-3-5-7-8-6-4-2/h1,3-8H2,2H3","InChIKey=AUNGTSCVKGQIAH-UHFFFAOYSA-N"
"InChI=1S/O2Si/c1-3-2","InChIKey=VYPSYNLAJGMNEJ-UHFFFAOYSA-N"
"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2","InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N"
"InChI=1S/C12H10O2/c13-12(14)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,8H2,(H,13,14)","InChIKey=PRPINYUDVPFIRX-UHFFFAOYSA-N"
"InChI=1S/C22H18Cl2FNO3/c1-22(2)15(11-19(23)24)20(22)21(27)29-18(12-26)13-8-9-16(25)17(10-13)28-14-6-4-3-5-7-14/h3-11,15,18,20H,1-2H3","InChIKey=QQODLKZGRKWIFG-UHFFFAOYSA-N"
"InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)","InChIKey=ISRUGXGCCGIOQO-UHFFFAOYSA-N"
"InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3","InChIKey=PJVWKTKQMONHTI-UHFFFAOYSA-N"
"InChI=1S/C4H5O2.6C4H9.2Sn/c1-3(2)4(5)6;6*1-3-4-2;;/h1H,2H3,(H,5,6);6*1,3-4H2,2H3;;/q;;;;;;;;+1/p-1","InChIKey=HUACBHPFXFBOCQ-UHFFFAOYSA-M"
"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3","InChIKey=ZSDSQXJSNMTJDA-UHFFFAOYSA-N"
"InChI=1S/C15H18Cl2N2O3/c1-8(2)21-12-7-11(9(16)6-10(12)17)19-14(20)22-13(18-19)15(3,4)5/h6-8H,1-5H3","InChIKey=CHNUNORXWHYHNE-UHFFFAOYSA-N"
"InChI=1S/Na.H2O3S/c;1-4(2)3/h;(H2,1,2,3)/q+1;/p-1","InChIKey=DWAQJAXMDSEUJJ-UHFFFAOYSA-M"
"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2","InChIKey=RDYMFSUJUZBWLH-UHFFFAOYSA-N"
"InChI=1S/C15H21NO4/c1-10-7-6-8-11(2)14(10)16(13(17)9-19-4)12(3)15(18)20-5/h6-8,12H,9H2,1-5H3","InChIKey=ZQEIXNIJLIKNTD-UHFFFAOYSA-N"
"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N"
"InChI=1S/C10H6Cl4O4/c1-17-9(15)3-5(11)7(13)4(10(16)18-2)8(14)6(3)12/h1-2H3","InChIKey=NPOJQCVWMSKXDN-UHFFFAOYSA-N"
"InChI=1S/C9H9INO3S/c1-7(12)14-9(3-5-10)11(2)8(13)4-6-15-11/h4,6,9H,1-2H3/q+1","InChIKey=YWMGMCIJISKEMN-UHFFFAOYSA-N"
"InChI=1S/C17H30O2/c1-6-19-17(18)13-16(5)12-8-11-15(4)10-7-9-14(2)3/h8,12-15H,6-7,9-11H2,1-5H3/b12-8+,16-13+","InChIKey=FYQGBXGJFWXIPP-UEVLXMDPSA-N"
"InChI=1S/C24H26O6/c1-2-4-23(26)24(9-3-10-25,13-17-5-7-19-21(11-17)29-15-27-19)14-18-6-8-20-22(12-18)30-16-28-20/h5-8,10-12H,2-4,9,13-16H2,1H3","InChIKey=INYYYNXDLSKWQB-UHFFFAOYSA-N"
"InChI=1S/C25H22ClNO3/c1-17(2)24(18-11-13-20(26)14-12-18)25(28)30-23(16-27)19-7-6-10-22(15-19)29-21-8-4-3-5-9-21/h3-15,17,23-24H,1-2H3/t23-,24+/m1/s1","InChIKey=NYPJDWWKZLNGGM-RPWUZVMVSA-N"
"InChI=1S/C8H17.ClH.H3N/c1-3-5-7-8-6-4-2;;/h1,3-8H2,2H3;1H;1H3","InChIKey=RACISGWYGJWHEZ-UHFFFAOYSA-N"
"InChI=1S/C9H11Cl3NO3PS/c1-3-14-17(18,15-4-2)16-9-7(11)5-6(10)8(12)13-9/h5H,3-4H2,1-2H3","InChIKey=SBPBAQFWLVIOKP-UHFFFAOYSA-N"
"InChI=1S/C7H16N.ClH/c1-8(2)6-4-3-5-7-8;/h3-7H2,1-2H3;1H/q+1;/p-1","InChIKey=VHOVSQVSAAQANU-UHFFFAOYSA-M"
"InChI=1S/C12H11NO/c13-12(14)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,8H2,(H2,13,14)","InChIKey=XFNJVKMNNVCYEK-UHFFFAOYSA-N"
"InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)","InChIKey=MCWXGJITAZMZEV-UHFFFAOYSA-N"
"InChI=1S/C17H22N2O4/c1-6-7-18-9-13(20)19(16(18)22)10-23-15(21)14-12(8-11(2)3)17(14,4)5/h1,8,12,14H,7,9-10H2,2-5H3","InChIKey=VPRAQYXPZIFIOH-UHFFFAOYSA-N"
"InChI=1S/C6H14O3/c1-5(8)4-9-6(2)3-7/h5-8H,3-4H2,1-2H3","InChIKey=DUFKCOQISQKSAV-UHFFFAOYSA-N"
"InChI=1S/Ca.2ClO/c;2*1-2/q+2;2*-1","InChIKey=ZKQDCIXGCQPQNV-UHFFFAOYSA-N"
"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3+,4+,5-,6-","InChIKey=JLYXXMFPNIAWKQ-CDRYSYESSA-N"
"InChI=1S/C5H10O2/c1-3-5(7)4(2)6/h5-7H,2-3H2,1H3","InChIKey=AMGUEVCBLPQRMO-UHFFFAOYSA-N"
"InChI=1S/C12H21N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h8-9H,6-7H2,1-5H3","InChIKey=FHIVAFMUCKRCQO-UHFFFAOYSA-N"
"InChI=1S/C6H15NO3.Cu/c1-4(8)7(5(2)9)6(3)10;/h4-6,8-10H,1-3H3;","InChIKey=JNMXNSOIBFKACH-UHFFFAOYSA-N"
"InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3/t16-,20-,21+/m1/s1","InChIKey=JUVIOZPCNVVQFO-HBGVWJBISA-N"
"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)","InChIKey=CVXBEEMKQHEXEN-UHFFFAOYSA-N"
"InChI=1S/C11H8O2.3Cu/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10;;;/h1-7H,(H,12,13);;;","InChIKey=IVSROCAOFVQTQP-UHFFFAOYSA-N"
