"ALKYL (50%C12 30%C14 17%C16 3%C18) DIMETHYLETHYLBENZYL AMMONIUM CHLORI"	        34            2072.38
"ALKYL (50%C14 40%C12 10%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"	         222         786782.89
"ALKYL (50%C14 40%C12 10%C16) DIMETHYLBENZYL AMMONIUM SACCHARINATE"	         4             2931.92
"ALKYL (58%C14 28%C16 14%C12) DIMETHYLBENZYL AMMONIUM CHLORIDE"	         31          163509.04
"ALKYL (60%C14 25%C12 15%C16) DIMETHYLBENZYL AMMONIUM CHLORIDE"	         7             1289.50
"ALKYL (60%C14 30%C16 5%C12 5%C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"	        274         351933.56
"ALKYL (61%C1223%C1411%C162.5%C8 & C102.5%C18) DIMETHYL BENZYL AMMONIUM"	       4             7085.76
"CHLORIDE"	
"ALKYL (67%C12 25%C14 7%C16 1%C8C10C18) DIMETHYLBENZYL AMMONIUM CHLORID"	      8            14000.37
"ALKYL (68%C12 32%C14) DIMETHYLETHYLBENZYL AMMONIUM CHLORIDE"	          254         244560.45
"ALKYL OXY-POLYOXYETHYLENE AND ALKYL PHENYLOXY-POLYOXYETHYLENE"	           4           123776.36
"ALKYL PHENOXY POLY (ETHOXY) ETHANOL"	           7            73846.98
"ALKYLARYL POLY(OXYETHYLENE) GLYCOL"	           9           895207.04
"ALPHA-(PARA-NONYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE) BRANCHED"	          4            32148.18
"ALPHA-[PARA-(1133-TRETRAMETHYLBUTYL)PHENYL]-OMEGA-"	       7            32441.33
"HYDROXYPOLY(OXYETHYLENE) PHOSPHATE ESTER"	
"ALPHA-[PARA-(1133-TETRAMETHYLBUTYL)PHENYL]-OMEGA-"	        6            27077.83
"HYDROXYPOLY(OXYETHYLENE)"	
"ALUMINUM PHOSPHIDE"	         6          211782.71
"AMITRAZ"	         7              266.03
"AMMONIUM SULFATE"	         7          127952.88
"ATRAZINE"	         4            77804.89
"AVERMECTIN"	         6             9331.01
"AZADIRACHTIN"	         11            9019.65
"BACILLUS THURINGIENSIS (BERLINER) SUBSP. ISRAELENSIS SEROTYPE H-14"	       7            19722.16
"BACILLUS THURINGIENSIS (BERLINER) SUBSP. KURSTAKI SEROTYPE 3A3B"	      6              421.11
"BENEFIN"	         17           33331.25
"BENSULIDE"	         7          257796.08
"BENZYL BENZOATE"	         4                 6.00
"BETA-PINENE POLYMER"	         6            21477.58
"BIFENTHRIN"	         6            32178.61
"BORAX"	         11         280924.65
"BORIC ACID"	         42         518578.26
"BRODIFACOUM"	         9               28.57
"BROMACIL"	         9            85555.03
"BROMADIOLONE"	         10            1028.43
"BROMETHALIN"	         12             115.17
"BRONOPOL"	         12            6711.53
"BUTOXY POLYPROPOXY POLYETHOXY ETHANOLIODINE COMPLEX"	      7             9203.20
"BUTOXY POLYPROPYLENE GLYCOL"	         12           16198.09
"BUTYL ALCOHOL"	         6            38433.36
"CACODYLIC ACID"	         11            1470.37
"CALCIUM ACID METHANEARSONATE"	         4             4925.57
"CALCIUM CARBONATE"	         5          109366.75
"CALCIUM HYDROXIDE"	         4         3476400.30
"CALCIUM HYPOCHLORITE"	         28        4315011.92
"CANOLA OIL"	         5            12110.00
"CAPRIC ACID"	         6            60938.86
"CAPSICUM OLEORESIN"	         17             384.25
"CAPTAN"	         8          536541.42
"CAPTAN OTHER RELATED"	        8            11920.38
"CARBARYL"	         36         421527.71
"CARBON"	         4            20316.32
"CASTOR OIL"	         5             8091.42
"CHLORINE"	         31      102679520.30
"CHLORINE DIOXIDE"	         6             2097.03
"CHLOROPHACINONE"	         6              180.69
"CHLOROPICRIN"	         9         6968465.93
"CHLOROTHALONIL"	         27        1303203.95
"CHLORPYRIFOS"	         53        1697022.38
"CITRIC ACID"	         12        2855692.95
"CLARIFIED HYDROPHOBIC EXTRACT OF NEEM OIL"	         6          161743.50
"CLOPYRALID MONOETHANOLAMINE SALT"	        5            59296.80
"COPPER"	          29         325999.91
"COPPER AMMONIUM COMPLEX"	          4           14276.72
"COPPER CARBONATE BASIC"	         4           14273.80
"COPPER ETHANOLAMINE COMPLEXES MIXED"	         5          171229.74
"COPPER HYDROXIDE"	          13        3940155.80
"COPPER NAPHTHENATE"	          15         380620.25
"COPPER OCTANOATE"	          4              250.34
"COPPER OXIDE (OUS)"	          21        1146624.77
"COPPER OXYCHLORIDE"	          5           84996.70
"COPPER SULFATE (BASIC)"	          14        1455054.13
"COPPER SULFATE (PENTAHYDRATE)"	          30        5646323.56
"COPPER TRIETHANOLAMINE COMPLEX"	          5              256.03
"COTTONSEED FLOUR"	          4            1890.40
"COTTONSEED OIL"	          11         177329.37
"CYANURIC ACID"	          14        1857905.07
"CYFLUTHRIN"	          11          50525.02
"CYPERMETHRIN"	          13          64596.46
"D-ALLETHRIN"	          18           4852.60
"D-TRANS ALLETHRIN"	          51           3695.27
"DAZOMET"	          12         128077.55
"DDVP"	          15          32929.79
"DDVP OTHER RELATED"	         15           2479.67
"DEET"	          31         160196.40
"DEET OTHER RELATED"	         30           6141.38
"DELTAMETHRIN"	          20           4385.98
"DIATOMACEOUS EARTH"	          17          42659.50
"DIAZINON"	          60         916438.45
"DICAMBA"	          24           6564.93
"DICAMBA DIMETHYLAMINE SALT"	         37          65590.16
"DICHLOBENIL"	          9           14021.35
"DICHLORO-S-TRIAZINETRIONE"	          5            4452.07
"DICLORAN"	          4          106608.85
"DICOFOL"	          6          130234.69
"DIDECYL DIMETHYL AMMONIUM CHLORIDE"	          200        669647.77
"DIETHYLAMINE SALT OF COCONUT FATTY ACID"	          4            6332.35
"DIETHYLENE GLYCOL"	          7           20407.47
"DIFETHIALONE"	          4                1.33
"DIFLUBENZURON"	          4           29684.22
"DIHYDRO-5-HEPTYL-2(3H)-FURANONE"	          4               63.09
"DIHYDRO-5-PENTYL-2(3H)-FURANONE"	          4               30.90
"DIMETHOATE"	          11         385181.40
"DIMETHYL POLY SILOXANE"	          20         812239.11
"DIOCTYL DIMETHYL AMMONIUM CHLORIDE"	          130         39801.25
"DIPHACINONE"	          16             116.08
"DIPROPYL ISOCINCHOMERONATE"	          27           1858.09
"DIQUAT DIBROMIDE"	         15         125826.90
"DISODIUM CYANODITHIOIMIDO CARBONATE"	         10            2845.89
"DISODIUM OCTABORATE TETRAHYDRATE"	         13         655872.15
"DISULFOTON"	         14          87224.69
"DITHIOPYR"	         12            9104.30
"DIURON"	         13        1452045.78
"DODECYL GUANIDINE HYDROCHLORIDE"	         4             1778.05
"DODECYLBENZENE SULFONIC ACID"	         17         124271.38
"EE-810-DODECADIEN-1-OL"	       9             1230.29
"E-8-DODECENYL ACETATE"	         5              133.52
"EDTA TETRASODIUM SALT"	        24            5369.74
"EMULSIFIABLE POLYETHYLENE"	         4               66.56
"ENDOSULFAN"	         7          182412.51
"ESBIOTHRIN"	         10              87.29
"ESFENVALERATE"	         34          43478.04
"ESSENTIAL OILS"	         5              200.59
"ETHEPHON"	         8         1795952.06
"ETHOFUMESATE"	         5           18779.09
"ETHYL ALCOHOL"	         93        3847915.95
"ETHYLENE"	         4          182197.66
"ETHYLENE OXIDE"	         7         1292722.27
"FATTY ACIDS METHYL ESTERS"	        4           67772.04
"FATTY ACIDS MIXED"	        7           12003.85
"FIPRONIL"	         6           32190.88
"FLUAZIFOP-P-BUTYL"	         11          23148.29
"FLUTOLANIL"	         4           16960.87
"FORMALDEHYDE"	         4          249040.13
"FOSETYL-AL"	         4          279836.40
"FREE FATTY ACIDS AND/OR AMINE SALTS"	         6           42358.06
"GARLIC"	         5              486.48
"GIBBERELLINS"	         5          160293.37
"GLUFOSINATE-AMMONIUM"	         5           11041.25
"GLUTARALDEHYDE"	         62         652174.60
"GLYPHOSATE"	         8         1097944.43
"GLYPHOSATE ISOPROPYLAMINE SALT"	        41        8894554.81
"HEXAHYDRO-135-TRIS (2-HYDROXYETHYL)-S-TRIAZINE"	       12         627850.36
"HYDRAMETHYLNON"	         6             8664.49
"HYDROGEN CHLORIDE"	         65       15840264.64
"HYDROGEN PEROXIDE"	         21         683484.84
"IBA"	         10             206.03
"IMAZALIL"	         12          22990.84
"IMIDACLOPRID"	         13         151396.17
"IMIPROTHRIN"	         4             6395.40
"IODINE"	         35          13511.82
"IRON PHOSPHATE"	         6             6075.65
"ISOPROPYL ALCOHOL"	            58           815035.60
"ISOXABEN"	            4             15586.56
"LAMBDA-CYHALOTHRIN"	            7             24061.04
"LIME-SULFUR"	            6           1814439.93
"LIMONENE"	            21            63517.72
"LINALOOL"	            9                535.62
"LITHIUM HYPOCHLORITE"	            9             35910.06
"MALATHION"	            30          1018961.46
"MANCOZEB"	            13          1043369.06
"MANEB"	            5            653764.15
"MANGANESE SULFATE"	            6               1585.51
"MCPA DIMETHYLAMINE SALT"	           7            216560.83
"MCPP"	            21           157526.95
"MCPP DIMETHYLAMINE SALT"	           44            96828.46
"MCPP-P DIMETHYLAMINE SALT"	           9             38239.05
"MEPIQUAT CHLORIDE"	            4             18260.05
"METALAXYL"	            5               1754.75
"METALDEHYDE"	            25           380837.76
"METALLIC SILVER"	            7                395.67
"METAM-SODIUM"	            10         18411939.58
"METHOMYL"	            8            332217.71
"METHOPRENE"	            4                      .71
"METHYL BROMIDE"	            6           8445091.32
"METHYL NONYL KETONE"	            21              7039.30
"METHYL NONYL KETONE OTHER RELATED"	           19               263.83
"METHYL SILICONE RESINS"	            4               2365.81
"METHYL SOYATE"	            7            142949.33
"METHYLENE BIS(THIOCYANATE)"	            23           124074.71
"MINERAL OIL"	            17          4850326.22
"MODIFIED PHTHALIC GLYCEROL ALKYD RESIN"	            7            115569.99
"MSMA"	            15           504365.22
"MUSCALURE"	            7                   6.70
"MYCLOBUTANIL"	            7             54872.30
"N-CYCLOPROPYL-N'-(11-DIMETHYLETHYL)-6-(METHYLTHIO)-135-TRIAZINE-24-DIA"	        5               2850.49
"N-DIALKYL (60%C14 30%C16 5%C12 5%C18) METHYL BENZYL AMMONIUM CHLORIDE"	         13              1138.92
"N-OCTYL BICYCLOHEPTENE DICARBOXIMIDE"	           123            34411.89
"NAA"	            6                189.85
"NABAM"	            19            42181.92
"NALED"	            6            246523.39
"NONANOIC ACID"	            8             68063.21
"NONYL PHENOXY POLY (ETHYLENE OXY) ETHANOL"	            25           519886.98
"NONYL PHENOXY POLYOXYETHYLENE ETHANOL-IODINE COMPLEX"	            10            21519.77
"OCTHILINONE"	            5            643123.67
"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE"	           130            92105.79
"OCTYL PHENOXY POLY ETHOXY ETHANOL"	            10            42649.15
"OIL OF CITRONELLA"	            16              5577.14
"OLEIC ACID"	            7             25904.17
"ORTHO-BENZYL-PARA-CHLOROPHENOL"	            48            17544.84
"ORTHO-BENZYL-PARA-CHLOROPHENOL POTASSIUM SALT"	           6                431.33
"ORTHO-BENZYL-PARA-CHLOROPHENOL SODIUM SALT"	           6                155.14
"ORTHO-PHENYLPHENOL"	            96            47011.15
"ORTHO-PHENYLPHENOL POTASSIUM SALT"	           5                337.33
"ORTHO-PHENYLPHENOL SODIUM SALT"	           18           100056.09
"ORYZALIN"	            9            674187.14
"OXADIAZON"	            9             39411.22
"OXYFLUORFEN"	            8            981435.26
"PACLOBUTRAZOL"	            4               1331.00
"PARA-DICHLOROBENZENE"	            8            798025.76
"PARA-TERT-AMYLPHENOL"	            47            13016.50
"PARA-TERT-AMYLPHENOL POTASSIUM SALT"	           5                230.98
"PCNB"	            13           210049.83
"PENDIMETHALIN"	            7            710540.71
"PERMETHRIN"	           165           427960.05
"PERMETHRIN OTHER RELATED"	           55               152.18
"PEROXYACETIC ACID"	            19           195454.58
"PETROLEUM DISTILLATES"	            31          1574812.56
"PETROLEUM DISTILLATES REFINED"	           6            422103.64
"PETROLEUM HYDROCARBONS"	            5            750386.76
"PETROLEUM OIL PARAFFIN BASED"	           7            420857.98
"PETROLEUM OIL UNCLASSIFIED"	           13         19553060.05
"PHENOTHRIN"	            71            15891.65
"PHENOTHRIN OTHER RELATED"	           8                      .59
"PHOSPHORIC ACID"	            60          1678179.00
"PINE OIL"	            37          2789990.10
"PIPERONYL BUTOXIDE"	           190           101864.15
"PIPERONYL BUTOXIDE OTHER RELATED"	          173            18061.02
"POLY(OXYETHYLENE) (DIMETHYLIMINO) ETHYLENE (DIMETHYLIMINO) ETHYLENE DI"	IDE         62           295688.25
"POLYALKENE OXIDE MODIFIED HEPTAMETHYL TRISILOXANE"	            5             27570.38
"POLYBUTENES"	            4             52475.76
"POLYETHOXY POLYPROPOXY POLYETHOXY ETHANOLIODINE COMPLEX"	         5               5984.26
"POLYOXYETHYLENE MIXED FATTY ACID ESTER"	            4            121616.38
"POLYOXYETHYLENE POLYMER"	            4               1370.64
"POLYOXYETHYLENE POLYOXYPROPYLENE"	            4             73191.05
"POLYVINYL POLYMER"	            6               3260.23
"POTASH SOAP"	            9            166229.48
"POTASSIUM BICARBONATE"	            5            609101.65
"POTASSIUM DIMETHYL DITHIO CARBAMATE"	            12              4418.46
"POTASSIUM N-METHYLDITHIO CARBAMATE"	            10          2026241.40
"POTASSIUM PEROXYMONOSULFATE"	            20           166766.42
"PRALLETHRIN"	            16                25.37
"PRODIAMINE"	          9            35593.82
"PROMETON"	          13           10205.10
"PROMETRYN"	          4          270842.32
"PROPICONAZOLE"	          9            24271.73
"PROPIONIC ACID"	          7          250359.66
"PROPOXUR"	          34            6153.26
"PROPYLENE GLYCOL"	          19           91684.56
"PUTRESCENT WHOLE EGG SOLIDS"	          4             1157.07
"PYRETHRINS"	          190          54426.83
"PYRIPROXYFEN"	          31           52871.70
"RESMETHRIN"	          44            4926.01
"RESMETHRIN OTHER RELATED"	         10                4.30
"ROTENONE"	          5              290.99
"ROTENONE OTHER RELATED"	         4              305.04
"S-BIOALLETHRIN"	          7               10.91
"S-METHOPRENE"	          11            2159.35
"SIDURON"	          4            20698.36
"SILICA AEROGEL"	          12            5522.87
"SILICONE DEFOAMER"	          4              717.67
"SIMAZINE"	          8          980998.68
"SODIUM BICARBONATE"	          15        2872672.35
"SODIUM BISULFATE"	          20         767831.34
"SODIUM BISULFITE"	          6         9029703.96
"SODIUM BROMIDE"	          51        1236694.42
"SODIUM CACODYLATE"	          11            8556.29
"SODIUM CARBONATE"	          24        1227307.48
"SODIUM CHLORATE"	          16        2359218.15
"SODIUM CHLORIDE"	          4              727.10
"SODIUM CHLORITE"	          23        1632123.57
"SODIUM DICHLORO-S-TRIAZINETRIONE"	          33        2529206.83
"SODIUM DICHLORO-S-TRIAZINETRIONE DIHYDRATE"	          54        3197496.31
"SODIUM DIMETHYL DITHIO CARBAMATE"	          20           43715.22
"SODIUM DIOCTYLSULFOSUCCINATE"	          6            22619.87
"SODIUM DODECYLBENZENE SULFONATE"	          5            72079.92
"SODIUM HYDROXIDE"	          4             2358.96
"SODIUM HYPOCHLORITE"	          91      116106544.82
"SODIUM LAURYL SULFATE"	          4               35.54
"SODIUM METASILICATE"	          16            3465.56
"SODIUM PARA-TERT-AMYLPHENATE"	          6             5600.84
"SODIUM PYRITHIONE"	          4             8411.42
"SODIUM TETRABORATE (PENTAHYDRATE)"	          4             1201.48
"SODIUM XYLENE SULFONATE"	          4             8443.13
"SOYBEAN OIL"	          4            64081.27
"SPINOSAD"	          5            88586.06
"STREPTOMYCIN SULFATE"	          5             9272.95
"STRYCHNINE"	             7                       3730.94
"SUGAR"	             6                        778.40
"SULFLURAMID"	             7                       6764.93
"SULFUR"	             39                 64650769.80
"SULFURIC ACID"	             6                    199678.81
"TALL OIL ACIDS"	             9                     23141.86
"TCMTB"	             16                    25488.96
"TERBUTHYLAZINE"	             13                    35713.51
"TETRACHLORVINPHOS"	             12                    20617.25
"TETRAKIS (HYDROXYMETHYL) PHOSPHONIUM SULFATE"	             16                   601436.23
"TETRAMETHRIN"	             83                    17874.49
"TETRAMETHRIN OTHER RELATED"	            4                              .77
"TETRAPOTASSIUM PYROPHOSPHATE"	             4                       4221.57
"THIABENDAZOLE"	             11                    22429.39
"THIOPHANATE-METHYL"	             8                    155313.29
"THIRAM"	             8                    128922.94
"TRALOMETHRIN"	             8                    175383.29
"TRIADIMEFON"	             9                       3270.17
"TRIBUTYLTIN METHACRYLATE"	             4                       1917.41
"TRIBUTYLTIN OXIDE"	             15                    23115.43
"TRICHLORO MELAMINE"	             5                       6031.74
"TRICHLORO-S-TRIAZINETRIONE"	             34                 17555182.39
"TRICLOPYR BUTOXYETHYL ESTER"	            5                   4994896.15
"TRICLOPYR TRIETHYLAMINE SALT"	            12                   206643.25
"TRIETHANOLAMINE"	             6                     14577.77
"TRIFLURALIN"	             33                  5748247.78
"TRISODIUM PHOSPHATE"	             4                     15739.79
"UREA"	             5                     10770.24
"VEGETABLE OIL"	             4                    113553.12
"VINCLOZOLIN"	             4                     19295.13
"WARFARIN"	             7                         10.12
"Z-11-TETRADECEN-1-YL ACETATE"	             4                         68.23
"Z-8-DODECENOL"	             5                         23.42
"Z-8-DODECENYL ACETATE"	             5                       2067.92
"ZINC PHOSPHIDE"	             10                      9150.95
"ZINC SULFATE"	             7                     12782.34
"ZIRAM"	             4                    788773.60
	
