
"InChI","InChI key"
"InChI=1S/C7H5Cl2FN2O3/c8-3-5(11)4(9)7(12-6(3)10)15-1-2(13)14/h1H2,(H2,11,12)(H,13,14)","InChIKey=MEFQWPUMEMWTJP-UHFFFAOYSA-N"
"InChI=1S/C4H11NO2/c1-3(6)5-4(2)7/h3-7H,1-2H3","InChIKey=TVQPFKYZTLIICE-UHFFFAOYSA-N"
"InChI=1S/C19H25NO4/c1-11(2)9-14-15(19(14,3)4)18(23)24-10-20-16(21)12-7-5-6-8-13(12)17(20)22/h9,14-15H,5-8,10H2,1-4H3","InChIKey=CXBMCYHAMVGWJQ-UHFFFAOYSA-N"
"InChI=1S/Cu.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2","InChIKey=ARUVKPQLZAKDPS-UHFFFAOYSA-L"
"InChI=1S/C21H28O3/c1-7-8-9-10-15-14(4)18(12-17(15)22)24-20(23)19-16(11-13(2)3)21(19,5)6/h7-9,11,16,18-19H,1,10,12H2,2-6H3/b9-8-/t16-,18+,19+/m1/s1","InChIKey=ROVGZAWFACYCSP-VUMXUWRFSA-N"
"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","InChIKey=FBPFZTCFMRRESA-UHFFFAOYSA-N"
"InChI=1S/C7H4Cl3NO3/c8-3-1-4(9)7(11-6(3)10)14-2-5(12)13/h1H,2H2,(H,12,13)","InChIKey=REEQLXCGVXDJSQ-UHFFFAOYSA-N"
"InChI=1S/C19H26O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h7,9,14,16-17H,1,8,10H2,2-6H3","InChIKey=ZCVAOQKBXKSDMS-UHFFFAOYSA-N"
"InChI=1S/C8H10NO5PS/c1-12-15(16,13-2)14-8-5-3-7(4-6-8)9(10)11/h3-6H,1-2H3","InChIKey=RLBIQVVOMOPOHC-UHFFFAOYSA-N"
"InChI=1S/ClH/h1H/p-1","InChIKey=VEXZGXHMUGYJMC-UHFFFAOYSA-M"
"InChI=1S/C2H6O.H2O4S/c1-2-3;1-5(2,3)4/h3H,2H2,1H3;(H2,1,2,3,4)/p-2","InChIKey=ROAYSRAUMPWBQX-UHFFFAOYSA-L"
"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)/p-1","InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-M"
"InChI=1S/C18H30/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18/h11,13-14,16-17H,2-10,12,15H2,1H3","InChIKey=KWKXNDCHNDYVRT-UHFFFAOYSA-N"
"InChI=1S/C13H15N3O3/c1-7(2)13(3)12(19)15-10(16-13)9-8(11(17)18)5-4-6-14-9/h4-7H,1-3H3,(H,17,18)(H,15,16,19)","InChIKey=CLQMBPJKHLGMQK-UHFFFAOYSA-N"
"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3","InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N"
"InChI=1S/ClH/h1H","InChIKey=VEXZGXHMUGYJMC-UHFFFAOYSA-N"
"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H","InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N"
"InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)","InChIKey=MXWJVTOOROXGIU-UHFFFAOYSA-N"
"InChI=1S/C4H4N2O2/c7-3-1-2-4(8)6-5-3/h1-2H,(H,5,7)(H,6,8)","InChIKey=BGRDGMRNKXEXQD-UHFFFAOYSA-N"
"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1","InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-M"
"InChI=1S/H3N/h1H3/p+1","InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-O"
"InChI=1S/C24H44O6/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-22(27)29-19-21(26)24-23(28)20(25)18-30-24/h9-10,20-21,23-26,28H,2-8,11-19H2,1H3/b10-9+","InChIKey=NWGKJDSIEKMTRX-MDZDMXLPSA-N"
"InChI=1S/C15H19N3O3/c1-5-9-6-10(13(19)20)11(16-7-9)12-17-14(21)15(4,18-12)8(2)3/h6-8H,5H2,1-4H3,(H,19,20)(H,17,18,21)","InChIKey=XVOKUMIPKHGGTN-UHFFFAOYSA-N"
"InChI=1S/C22H26O3/c1-15(2)10-19-20(22(19,3)4)21(23)25-14-17-12-18(24-13-17)11-16-8-6-5-7-9-16/h5-10,12-13,19-20H,11,14H2,1-4H3","InChIKey=VEMKTZHHVJILDY-UHFFFAOYSA-N"
"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2","InChIKey=LDVVMCZRFWMZSG-UHFFFAOYSA-N"
"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)","InChIKey=ZFSLODLOARCGLH-UHFFFAOYSA-N"
"InChI=1S/C23H16O3/c24-21-17-13-7-8-14-18(17)22(25)20(21)23(26)19(15-9-3-1-4-10-15)16-11-5-2-6-12-16/h1-14,19-20H","InChIKey=JYGLAHSAISAEAL-UHFFFAOYSA-N"
"InChI=1S/C14H17N3O3/c1-7(2)14(4)13(20)16-11(17-14)10-9(12(18)19)5-8(3)6-15-10/h5-7H,1-4H3,(H,18,19)(H,16,17,20)","InChIKey=PVSGXWMWNRGTKE-UHFFFAOYSA-N"
"InChI=1S/H8O2Si3/c3-1-5-2-4/h5H2,3-4H3","InChIKey=ZQTYRTSKQFQYPQ-UHFFFAOYSA-N"
"InChI=1S/CH3/h1H3","InChIKey=WCYWZMWISLQXQU-UHFFFAOYSA-N"
"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3","InChIKey=OEBRKCOSUFCWJD-UHFFFAOYSA-N"
"InChI=1S/2C2H4O2/c2*1-2(3)4/h2*1H3,(H,3,4)/p-2","InChIKey=YBCVMFKXIKNREZ-UHFFFAOYSA-L"
"InChI=1S/C48H72O14.C47H70O14/c1-11-25(2)43-28(5)17-18-47(62-43)23-34-20-33(61-47)16-15-27(4)42(26(3)13-12-14-32-24-55-45-40(49)29(6)19-35(46(51)58-34)48(32,45)52)59-39-22-37(54-10)44(31(8)57-39)60-38-21-36(53-9)41(50)30(7)56-38;1-24(2)41-27(5)16-17-46(61-41)22-33-19-32(60-46)15-14-26(4)42(25(3)12-11-13-31-23-54-44-39(48)28(6)18-34(45(50)57-33)47(31,44)51)58-38-21-36(53-10)43(30(8)56-38)59-37-20-35(52-9)40(49)29(7)55-37/h12-15,17-19,25-26,28,30-31,33-45,49-50,52H,11,16,20-24H2,1-10H3;11-14,16-18,24-25,27,29-30,32-44,48-49,51H,15,19-23H2,1-10H3/b13-12+,27-15+,32-14+;12-11+,26-14+,31-13+/t25-,26-,28-,30-,31-,33+,34-,35-,36-,37-,38-,39-,40+,41-,42-,43+,44-,45+,47+,48+;25-,27-,29-,30-,32+,33-,34-,35-,36-,37-,38-,39+,40-,41+,42-,43-,44+,46+,47+/m00/s1","InChIKey=IBSREHMXUMOFBB-JFUDTMANSA-N"
"InChI=1S/C60H108O8/c1-4-7-10-13-16-19-22-25-28-31-34-37-40-43-46-49-56(62)65-53-55(67-57(63)50-47-44-41-38-35-32-29-26-23-20-17-14-11-8-5-2)60-59(54(61)52-66-60)68-58(64)51-48-45-42-39-36-33-30-27-24-21-18-15-12-9-6-3/h25-30,54-55,59-61H,4-24,31-53H2,1-3H3/b28-25-,29-26-,30-27-/t54-,55+,59+,60?/m0/s1","InChIKey=PRXRUNOAOLTIEF-ILWZSSAQSA-N"
"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3","InChIKey=SMDHCQAYESWHAE-UHFFFAOYSA-N"
"InChI=1S/C20H19NO3/c1-16(23-20-9-5-6-14-21-20)15-22-17-10-12-19(13-11-17)24-18-7-3-2-4-8-18/h2-14,16H,15H2,1H3","InChIKey=NHDHVHZZCFYRSB-UHFFFAOYSA-N"
"InChI=1S/C15H21NO8/c16-11(15(22)24-13(20)6-2-4-10-18)7-8-14(21)23-12(19)5-1-3-9-17/h9-11H,1-8,16H2/t11-/m0/s1","InChIKey=LIZSKKOJUZUYEH-NSHDSACASA-N"
"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)","InChIKey=BDAGIHXWWSANSR-UHFFFAOYSA-N"
"InChI=1S/C6H6O.Na/c7-6-4-2-1-3-5-6;/h1-5,7H;/q;+1/p-1","InChIKey=NESLWCLHZZISNB-UHFFFAOYSA-M"
"InChI=1S/C8H11N.ClH/c1-9-7-8-5-3-2-4-6-8;/h2-6,9H,7H2,1H3;1H","InChIKey=CBSOFSBFHDQRLV-UHFFFAOYSA-N"
"InChI=1S/C6H10N6/c7-4-10-5(8)12-6(11-4)9-3-1-2-3/h3H,1-2H2,(H5,7,8,9,10,11,12)","InChIKey=LVQDKIWDGQRHTE-UHFFFAOYSA-N"
"InChI=1S/C13H10Br2N3OS/c14-7-13(15,8-17)5-9(6-16)20-11-4-2-1-3-10(11)12(19)18-20/h1-4,9H,5,7H2,(H,18,19)","InChIKey=ARFNNGDRQYHHFX-UHFFFAOYSA-N"
"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3","InChIKey=XCSGPAVHZFQHGE-UHFFFAOYSA-N"
"InChI=1S/C15H20ClN3O/c1-15(2,3)14(20)13(19-10-17-9-18-19)8-11-4-6-12(16)7-5-11/h4-7,9-10,13-14,20H,8H2,1-3H3","InChIKey=RMOGWMIKYWRTKW-UHFFFAOYSA-N"
"InChI=1S/C16H18N4O7S/c1-25-12-8-13(26-2)18-15(17-12)19-16(22)20-28(23,24)9-10-6-4-5-7-11(10)14(21)27-3/h4-8H,9H2,1-3H3,(H2,17,18,19,20,22)","InChIKey=XMQFTWRPUQYINF-UHFFFAOYSA-N"
"InChI=1S/C8H16O4/c1-5-9-6(2)11-8(4)12-7(3)10-5/h5-8H,1-4H3","InChIKey=GKKDCARASOJPNG-UHFFFAOYSA-N"
"InChI=1S/BrCl/c1-2","InChIKey=CODNYICXDISAEA-UHFFFAOYSA-N"
"InChI=1S/2H3P.3Zn/h2*1H3;;;","InChIKey=HYHYBSHHHWIQDS-UHFFFAOYSA-N"
"InChI=1S/H2O4S.Zn/c1-5(2,3)4;/h(H2,1,2,3,4);/q;+2/p-2","InChIKey=NWONKYPBYAMBJT-UHFFFAOYSA-L"
"InChI=1S/C6H12N4O9/c11-8(12)17-4-1-7(2-5-18-9(13)14)3-6-19-10(15)16/h1-6H2","InChIKey=HWKQNAWCHQMZHK-UHFFFAOYSA-N"
"InChI=1S/C11H14O2/c1-2-11(12)13-9-8-10-6-4-3-5-7-10/h3-7H,2,8-9H2,1H3","InChIKey=HVGZQCSMLUDISR-UHFFFAOYSA-N"
"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N"
"InChI=1S/C31H23BrO2S/c32-24-15-13-20(14-16-24)19-9-11-21(12-10-19)23-17-22-5-1-2-6-25(22)27(18-23)29-30(33)26-7-3-4-8-28(26)35-31(29)34/h1-16,23,27,34H,17-18H2","InChIKey=VSVAQRUUFVBBFS-UHFFFAOYSA-N"
"InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H","InChIKey=YOYAIZYFCNQIRF-UHFFFAOYSA-N"
"InChI=1S/Mn.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/p-2","InChIKey=KNLQKHUBPCXPQD-UHFFFAOYSA-L"
"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2","InChIKey=PZBPKYOVPCNPJY-UHFFFAOYSA-N"
"InChI=1S/C22H17ClF3N3O7/c1-33-18(30)21-10-12-9-13(23)3-8-16(12)17(21)27-28(11-35-21)19(31)29(20(32)34-2)14-4-6-15(7-5-14)36-22(24,25)26/h3-9H,10-11H2,1-2H3/t21-/m0/s1","InChIKey=VBCVPMMZEGZULK-NRFANRHFSA-N"
"InChI=1S/C4H11N/c1-4(2)3-5/h4H,3,5H2,1-2H3","InChIKey=KDSNLYIMUZNERS-UHFFFAOYSA-N"
"InChI=1S/C9H16N4OS/c1-9(2,3)6-11-12-8(15-6)13(5)7(14)10-4/h1-5H3,(H,10,14)","InChIKey=HBPDKDSFLXWOAE-UHFFFAOYSA-N"
"InChI=1S/C12H12N2.2BrH/c1-3-7-13-9-10-14-8-4-2-6-12(14)11(13)5-1;;/h1-8H,9-10H2;2*1H/q+2;;/p-2","InChIKey=ODPOAESBSUKMHD-UHFFFAOYSA-L"
"InChI=1S/Na/q+1","InChIKey=FKNQFGJONOIPTF-UHFFFAOYSA-N"
"InChI=1S/C26H48INO2.ClH.H3N/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-24-28(23-6-4-2)26(29)30-25-21-22-27;;/h3-20,23-25H2,1-2H3;1H;1H3","InChIKey=DKCLJNRQXIXLKL-UHFFFAOYSA-N"
"InChI=1S/C17H12Cl2N2O/c18-14-7-5-12(6-8-14)17(22,13-9-20-11-21-10-13)15-3-1-2-4-16(15)19/h1-11,22H","InChIKey=NHOWDZOIZKMVAI-UHFFFAOYSA-N"
"InChI=1S/CH2N2S2.2Na/c2-1-3(4)5;;/h4-5H;;/q;2*+1","InChIKey=BVFGQVRHLOHGNH-UHFFFAOYSA-N"
"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)","InChIKey=QAOWNCQODCNURD-UHFFFAOYSA-N"
"InChI=1S/C24H48O2/c1-3-5-7-9-11-13-15-17-19-21-23-26-24(25)22-20-18-16-14-12-10-8-6-4-2/h3-23H2,1-2H3","InChIKey=CYUUZGXOQDCCGH-UHFFFAOYSA-N"
"InChI=1S/C17H23N5O14/c18-5(7(24)4(23)2-35-16(19)33)12(28)20-6(15(31)32)10-8(25)9(26)13(36-10)22-1-3(14(29)30)11(27)21-17(22)34/h1,4-10,13,23-26H,2,18H2,(H2,19,33)(H,20,28)(H,29,30)(H,31,32)(H,21,27,34)","InChIKey=JPFWJDMDPLEUBD-UHFFFAOYSA-N"
"InChI=1S/C52H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-38-40-42-44-51(54)58-48-50(49-60-62(56,57)59-47-46-53(3,4)5)61-52(55)45-43-41-39-37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h8-11,14-17,20-23,26-29,32-35,38-41,50H,6-7,12-13,18-19,24-25,30-31,36-37,42-49H2,1-5H3/b10-8-,11-9-,16-14-,17-15-,22-20-,23-21-,28-26-,29-27-,34-32-,35-33-,40-38-,41-39-/t50-/m1/s1","InChIKey=XLKQWAMTMYIQMG-SVUPRYTISA-N"
"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-","InChIKey=ZQPPMHVWECSIRJ-KTKRTIGZSA-N"
"InChI=1S/C5H5NOS/c7-6-4-2-1-3-5(6)8/h1-4,8H","InChIKey=FGVVTMRZYROCTH-UHFFFAOYSA-N"
"InChI=1S/C3H9NO2/c5-2-1-4-3-6/h4-6H,1-3H2","InChIKey=NWPCFCBFUXXJIE-UHFFFAOYSA-N"
"InChI=1S/C21H22ClNO4/c1-25-19-8-5-16(13-20(19)26-2)18(15-3-6-17(22)7-4-15)14-21(24)23-9-11-27-12-10-23/h3-8,13-14H,9-12H2,1-2H3/b18-14+","InChIKey=QNBTYORWCCMPQP-NBVRZTHBSA-N"
"InChI=1S/C5H8N2O2/c1-5(2)3(8)6-4(9)7-5/h1-2H3,(H2,6,7,8,9)","InChIKey=YIROYDNZEPTFOL-UHFFFAOYSA-N"
"InChI=1S/C7H5NO3S/c9-7-5-3-1-2-4-6(5)12(10,11)8-7/h1-4H,(H,8,9)","InChIKey=CVHZOJJKTDOEJC-UHFFFAOYSA-N"
"InChI=1S/C12H26O4S/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15/h2-12H2,1H3,(H,13,14,15)/p-1","InChIKey=MOTZDAYCYVMXPC-UHFFFAOYSA-M"
"InChI=1S/C6H12N2O3/c1-8(2)7-5(9)3-4-6(10)11/h3-4H2,1-2H3,(H,7,9)(H,10,11)","InChIKey=NOQGZXFMHARMLW-UHFFFAOYSA-N"
"InChI=1S/C10H21/c1-3-5-7-9-10-8-6-4-2/h1,3-10H2,2H3","InChIKey=HGXDRYGXXALTOV-UHFFFAOYSA-N"
"InChI=1S/C40H72O5S/c1-4-7-10-13-16-19-22-23-24-27-30-33-36-39(40(41)44-37-34-31-28-25-20-17-14-11-8-5-2)46(42,43)45-38-35-32-29-26-21-18-15-12-9-6-3/h6-7,9-12,14-15,39H,4-5,8,13,16-38H2,1-3H3/b9-6?,10-7+,14-11+,15-12+","InChIKey=ICUZPVCIDSSKRC-MKFFFUCFSA-N"
"InChI=1S/4K.H4O7P2/c;;;;1-8(2,3)7-9(4,5)6/h;;;;(H2,1,2,3)(H2,4,5,6)/q4*+1;","InChIKey=RYCLIXPGLDDLTM-UHFFFAOYSA-N"
"InChI=1S/C15H17Br2NO2/c1-2-3-4-5-6-7-14(19)20-15-12(16)8-11(10-18)9-13(15)17/h8-9H,2-7H2,1H3","InChIKey=DQKWXTIYGWPGOO-UHFFFAOYSA-N"
"InChI=1S/C19H22O6/c1-9-7-17-8-18(9,24)5-3-10(17)19-6-4-11(20)16(2,15(23)25-19)13(19)12(17)14(21)22/h4,6,10-13,20,24H,1,3,5,7-8H2,2H3,(H,21,22)/t10-,11+,12-,13-,16-,17+,18+,19-/m1/s1","InChIKey=IXORZMNAPKEEDV-OBDJNFEBSA-N"
"InChI=1S/C10H12N2O3S/c1-7(2)12-10(13)8-5-3-4-6-9(8)11-16(12,14)15/h3-7,11H,1-2H3","InChIKey=ZOMSMJKLGFBRBS-UHFFFAOYSA-N"
"InChI=1S/C19H14F3NO/c1-23-11-16(13-6-3-2-4-7-13)18(24)17(12-23)14-8-5-9-15(10-14)19(20,21)22/h2-12H,1H3","InChIKey=YWBVHLJPRPCRSD-UHFFFAOYSA-N"
"InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)","InChIKey=NNKVPIKMPCQWCG-UHFFFAOYSA-N"
"InChI=1S/C11H12NO4PS2/c1-15-17(18,16-2)19-7-12-10(13)8-5-3-4-6-9(8)11(12)14/h3-6H,7H2,1-2H3","InChIKey=LMNZTLDVJIUSHT-UHFFFAOYSA-N"
"InChI=1S/C10H6F17NO2S/c1-2-28-31(29,30)10(26,27)8(21,22)6(17,18)4(13,14)3(11,12)5(15,16)7(19,20)9(23,24)25/h28H,2H2,1H3","InChIKey=CCEKAJIANROZEO-UHFFFAOYSA-N"
"InChI=1S/C7H13As3O8/c8-7(17-18-7)16-10(13,14)15-6(12)9-4-2-1-3-5-11/h5,9H,1-4,8H2,(H,13,14)","InChIKey=LFKCNOBTHGLEGO-UHFFFAOYSA-N"
"InChI=1S/C5H8O2/c1-2-5(7)3-4-6/h2-3,6-7H,1,4H2","InChIKey=UTXIJCPIWKEYEJ-UHFFFAOYSA-N"
"InChI=1S/CH2O/c1-2/h1H2","InChIKey=WSFSSNUMVMOOMR-UHFFFAOYSA-N"
"InChI=1S/C9H19NOS/c1-4-7-10(8-5-2)9(11)12-6-3/h4-8H2,1-3H3","InChIKey=GUVLYNGULCJVDO-UHFFFAOYSA-N"
"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3","InChIKey=APQSQLNWAIULLK-UHFFFAOYSA-N"
"InChI=1S/C16H21Cl2NO2/c1-12-5-2-3-8-19(12)9-4-10-21-16(20)13-6-7-14(17)15(18)11-13/h6-7,11-12H,2-5,8-10H2,1H3","InChIKey=BZGLBXYQOMFXAU-UHFFFAOYSA-N"
"InChI=1S/C2H7NO.Cu/c1-2(3)4;/h2,4H,3H2,1H3;","InChIKey=ISDSSZUNEVFBIU-UHFFFAOYSA-N"
"InChI=1S/C7H10N4O3/c1-3-9-7(13)10-6(12)5(4-8)11-14-2/h3H2,1-2H3,(H2,9,10,12,13)/b11-5+","InChIKey=XERJKGMBORTKEO-VZUCSPMQSA-N"
"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3","InChIKey=POAOYUHQDCAZBD-UHFFFAOYSA-N"
"InChI=1S/C24H27N3O4/c1-17-21(22(27(5)26-17)30-20-9-7-6-8-10-20)15-25-29-16-18-11-13-19(14-12-18)23(28)31-24(2,3)4/h6-15H,16H2,1-5H3/b25-15+","InChIKey=YYJNOYZRYGDPNH-MFKUBSTISA-N"
"InChI=1S/C6H8ClN5O2S/c1-8-6(11-12(13)14)10-3-4-2-9-5(7)15-4/h2H,3H2,1H3,(H2,8,10,11)","InChIKey=PGOOBECODWQEAB-UHFFFAOYSA-N"
"InChI=1S/C7H17O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h4-7H2,1-3H3","InChIKey=BULVZWIRKLYCBC-UHFFFAOYSA-N"
"InChI=1S/C9H10Cl2N2O/c1-13(2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)","InChIKey=XMTQQYYKAHVGBJ-UHFFFAOYSA-N"
"InChI=1S/C15H22ClNO2/c1-5-13-8-6-7-11(2)15(13)17(14(18)9-16)12(3)10-19-4/h6-8,12H,5,9-10H2,1-4H3","InChIKey=WVQBLGZPHOPPFO-UHFFFAOYSA-N"
"InChI=1S/K/q+1","InChIKey=NPYPAHLBTDXSSS-UHFFFAOYSA-N"
"InChI=1S/C2H4O/c1-2-3/h2H,1H3","InChIKey=IKHGUXGNUITLKF-UHFFFAOYSA-N"
"InChI=1S/C19H20F3NO4/c1-3-4-11-25-18(24)13(2)26-15-6-8-16(9-7-15)27-17-10-5-14(12-23-17)19(20,21)22/h5-10,12-13H,3-4,11H2,1-2H3","InChIKey=VAIZTNZGPYBOGF-UHFFFAOYSA-N"
"InChI=1S/C2H4/c1-2/h1-2H2","InChIKey=VGGSQFUCUMXWEO-UHFFFAOYSA-N"
"InChI=1S/C9H20N2O2/c1-4-8-13-9(12)10-6-5-7-11(2)3/h4-8H2,1-3H3,(H,10,12)","InChIKey=WZZLDXDUQPOXNW-UHFFFAOYSA-N"
"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H","InChIKey=DMBHHRLKUKUOEG-UHFFFAOYSA-N"
